rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1,00:32:20,48521,1,0,A,1,發短球,,1.0,2,,,,2.0,8,662.0,575.0,,,,,8,628.0,386.0,8,706.0,539.0,0
1,2,00:32:21,48529,1,0,B,2,推球,,,2,8,662.0,575.0,1.0,5,513.0,332.0,,,,,8,637.0,521.0,8,634.0,373.0,0
1,3,00:32:22,48555,1,0,A,2,長球,1.0,,2,5,513.0,332.0,1.0,3,833.0,641.0,,,,,9,527.0,324.0,8,592.0,567.0,0
1,4,00:32:23,48587,1,0,B,3,殺球,,,2,3,833.0,641.0,1.0,12,849.0,326.0,出界,對手出界,A,,3,820.0,653.0,8,663.0,351.0,0
2,1,00:32:38,48966,1,1,A,1,發短球,,1.0,2,,,,2.0,7,529.0,519.0,,,,,8,653.0,378.0,8,533.0,554.0,0
2,2,00:32:40,49013,1,1,B,2,放小球,,,1,7,529.0,519.0,2.0,1,482.0,426.0,,,,,8,560.0,523.0,8,621.0,378.0,0
2,3,00:32:41,49032,1,1,A,2,挑球,,1.0,2,1,482.0,426.0,1.0,8,651.0,620.0,,,,,7,519.0,431.0,8,563.0,524.0,0
2,4,00:32:43,49083,1,1,B,3,殺球,,,1,8,651.0,620.0,2.0,8,695.0,342.0,對手落地致勝,落地致勝,B,,9,619.0,631.0,8,622.0,343.0,0
3,1,00:33:03,49590,1,2,B,1,發短球,,1.0,2,,,,2.0,7,735.0,399.0,,,,,8,618.0,555.0,8,697.0,366.0,0
3,2,00:33:04,49605,1,2,A,2,擋小球,,1.0,1,7,735.0,399.0,2.0,7,769.0,508.0,,,,,8,726.0,389.0,8,658.0,555.0,0
3,3,00:33:04,49623,1,2,B,2,放小球,,,1,7,769.0,508.0,2.0,2,797.0,419.0,,,,,7,746.0,509.0,8,691.0,374.0,0
3,4,00:33:05,49643,1,2,A,2,挑球,,,2,2,797.0,419.0,1.0,3,852.0,647.0,,,,,7,765.0,413.0,8,703.0,548.0,0
3,5,00:33:07,49676,1,2,B,3,後場抽平球,,,1,3,852.0,647.0,2.0,4,815.0,317.0,落點判斷失誤,對手落點判斷失誤,B,,9,795.0,643.0,8,682.0,361.0,0
4,1,00:33:21,50030,1,3,B,1,發短球,,1.0,2,,,,1.0,8,607.0,357.0,,,,,8,661.0,547.0,8,556.0,368.0,0
4,2,00:33:21,50046,1,3,A,3,推球,,1.0,2,8,607.0,357.0,1.0,13,834.0,682.0,出界,對手出界,B,,8,571.0,386.0,8,650.0,568.0,0
5,1,00:33:32,50322,1,4,B,1,發短球,,1.0,2,,,,1.0,8,682.0,358.0,,,,,8,616.0,555.0,8,704.0,369.0,0
5,2,00:33:33,50338,1,4,A,2,推球,,,2,8,682.0,358.0,1.0,8,492.0,619.0,,,,,8,711.0,388.0,8,641.0,560.0,0
5,3,00:33:34,50362,1,4,B,3,殺球,1.0,,1,8,492.0,619.0,2.0,6,822.0,355.0,對手落地致勝,落地致勝,B,,9,524.0,635.0,8,628.0,361.0,0
6,1,00:33:50,50752,2,4,B,1,發短球,,1.0,2,,,,2.0,8,560.0,382.0,,,,,8,659.0,546.0,8,555.0,367.0,0
6,2,00:33:50,50767,2,4,A,2,擋小球,,1.0,1,8,560.0,382.0,2.0,7,534.0,506.0,,,,,8,578.0,388.0,8,650.0,562.0,0
6,3,00:33:51,50786,2,4,B,2,放小球,,1.0,1,7,534.0,506.0,2.0,1,506.0,407.0,,,,,8,567.0,534.0,8,605.0,367.0,0
6,4,00:33:52,50809,2,4,A,2,推球,,1.0,2,1,506.0,407.0,1.0,8,799.0,629.0,,,,,7,556.0,407.0,8,568.0,556.0,0
6,5,00:33:53,50845,2,4,B,2,過度切球,,,1,8,799.0,629.0,2.0,8,738.0,362.0,,,,,8,736.0,625.0,8,720.0,357.0,0
6,6,00:33:54,50867,2,4,A,2,擋小球,,,2,8,738.0,362.0,1.0,8,767.0,522.0,,,,,8,727.0,367.0,8,708.0,571.0,0
6,7,00:33:55,50883,2,4,B,3,平球,,,1,8,767.0,522.0,2.0,13,785.0,302.0,出界,對手出界,A,,7,744.0,508.0,8,697.0,360.0,0
7,1,00:34:11,51285,2,5,A,1,發短球,,1.0,2,,,,2.0,7,722.0,514.0,,,,,8,625.0,383.0,8,701.0,559.0,0
7,2,00:34:11,51298,2,5,B,2,放小球,,1.0,1,7,722.0,514.0,2.0,7,750.0,406.0,,,,,8,711.0,526.0,8,642.0,374.0,0
7,3,00:34:12,51320,2,5,A,2,放小球,,,1,7,750.0,406.0,2.0,7,776.0,476.0,,,,,7,737.0,410.0,8,690.0,555.0,0
7,4,00:34:13,51341,2,5,B,2,挑球,,,2,7,776.0,476.0,1.0,9,555.0,323.0,,,,,7,765.0,507.0,8,706.0,387.0,0
7,5,00:34:15,51381,2,5,A,2,點扣,1.0,,2,9,555.0,323.0,1.0,8,587.0,560.0,,,,,9,535.0,324.0,8,617.0,565.0,0
7,6,00:34:15,51392,2,5,B,2,防守回抽,,1.0,1,8,587.0,560.0,2.0,8,713.0,358.0,,,,,8,602.0,559.0,9,545.0,323.0,0
7,7,00:34:16,51406,2,5,A,2,擋小球,,,1,8,713.0,358.0,2.0,7,722.0,510.0,,,,,8,651.0,357.0,8,623.0,562.0,0
7,8,00:34:17,51429,2,5,B,2,放小球,,,1,7,722.0,510.0,2.0,8,681.0,398.0,,,,,8,711.0,543.0,8,665.0,353.0,0
7,9,00:34:18,51453,2,5,A,2,放小球,,,1,8,681.0,398.0,2.0,7,679.0,491.0,,,,,7,680.0,406.0,8,651.0,551.0,0
7,10,00:34:18,51471,2,5,B,2,放小球,,,1,7,679.0,491.0,2.0,7,595.0,418.0,,,,,7,670.0,513.0,8,665.0,390.0,0
7,11,00:34:19,51498,2,5,A,2,挑球,,1.0,2,7,595.0,418.0,1.0,8,687.0,616.0,,,,,7,589.0,408.0,8,634.0,547.0,0
7,12,00:34:21,51543,2,5,B,2,殺球,1.0,,1,8,687.0,616.0,2.0,8,685.0,360.0,,,,,9,668.0,632.0,8,636.0,350.0,0
7,13,00:34:22,51557,2,5,A,2,擋小球,,,1,8,685.0,360.0,2.0,7,569.0,497.0,,,,,8,656.0,353.0,8,677.0,620.0,0
7,14,00:34:23,51579,2,5,B,2,擋小球,,1.0,1,7,569.0,497.0,2.0,1,501.0,421.0,,,,,8,596.0,534.0,8,641.0,354.0,0
7,15,00:34:24,51604,2,5,A,2,放小球,,1.0,1,1,501.0,421.0,2.0,2,485.0,502.0,,,,,7,562.0,400.0,8,585.0,561.0,0
7,16,00:34:25,51630,2,5,B,2,放小球,,1.0,1,2,485.0,502.0,2.0,1,475.0,419.0,,,,,6,478.0,527.0,8,604.0,383.0,0
7,17,00:34:26,51652,2,5,A,2,挑球,,1.0,2,1,475.0,419.0,1.0,4,457.0,638.0,,,,,7,532.0,423.0,8,525.0,531.0,0
7,18,00:34:27,51690,2,5,B,3,殺球,1.0,,1,4,457.0,638.0,2.0,6,801.0,368.0,對手落地致勝,落地致勝,B,,4,438.0,647.0,8,601.0,357.0,0
8,1,00:34:57,52449,3,5,B,3,發短球,,1.0,1,,,,,8,618.0,387.0,出界,對手出界,A,,8,618.0,557.0,8,708.0,366.0,0
9,1,00:35:13,52842,4,5,A,1,發短球,,1.0,2,,,,2.0,8,569.0,533.0,,,,,8,657.0,380.0,8,521.0,561.0,0
9,2,00:35:14,52852,4,5,B,2,勾球,,1.0,1,8,569.0,533.0,2.0,8,761.0,389.0,,,,,7,579.0,520.0,8,652.0,372.0,0
9,3,00:35:15,52875,4,5,A,2,推球,,,2,8,761.0,389.0,1.0,3,808.0,631.0,,,,,7,710.0,405.0,8,614.0,547.0,0
9,4,00:35:16,52912,4,5,B,2,長球,,,2,3,808.0,631.0,1.0,4,767.0,322.0,,,,,9,758.0,651.0,8,675.0,367.0,0
9,5,00:35:17,52943,4,5,A,2,殺球,,,1,4,767.0,322.0,2.0,8,546.0,570.0,,,,,4,764.0,323.0,8,685.0,583.0,0
9,6,00:35:18,52958,4,5,B,2,擋小球,,1.0,2,8,546.0,570.0,1.0,8,543.0,382.0,,,,,8,652.0,564.0,4,776.0,314.0,0
9,7,00:35:19,52987,4,5,A,2,平球,,1.0,2,8,543.0,382.0,1.0,8,742.0,576.0,,,,,8,564.0,386.0,8,547.0,577.0,0
9,8,00:35:19,52999,4,5,B,2,平球,,,2,8,742.0,576.0,1.0,8,750.0,355.0,,,,,8,626.0,577.0,8,618.0,365.0,0
9,9,00:35:20,53012,4,5,A,2,擋小球,,,1,8,750.0,355.0,2.0,7,786.0,520.0,,,,,8,695.0,366.0,8,713.0,582.0,0
9,10,00:35:21,53034,4,5,B,2,擋小球,,,1,7,786.0,520.0,2.0,7,760.0,405.0,,,,,8,780.0,544.0,8,683.0,361.0,0
9,11,00:35:22,53057,4,5,A,2,挑球,,,2,7,760.0,405.0,1.0,3,812.0,630.0,,,,,7,750.0,416.0,8,682.0,557.0,0
9,12,00:35:23,53091,4,5,B,2,長球,,,2,3,812.0,630.0,1.0,4,764.0,321.0,,,,,9,750.0,658.0,8,673.0,361.0,0
9,13,00:35:24,53124,4,5,A,2,切球,,,1,4,764.0,321.0,2.0,5,791.0,528.0,,,,,9,744.0,324.0,8,672.0,589.0,0
9,14,00:35:26,53150,4,5,B,2,擋小球,,,1,5,791.0,528.0,2.0,2,770.0,399.0,,,,,8,766.0,557.0,8,706.0,348.0,0
9,15,00:35:26,53172,4,5,A,2,推球,,,2,2,770.0,399.0,1.0,3,804.0,631.0,,,,,7,738.0,405.0,8,690.0,554.0,0
9,16,00:35:28,53207,4,5,B,2,長球,,,2,3,804.0,631.0,1.0,6,773.0,330.0,,,,,9,725.0,647.0,8,677.0,365.0,0
9,17,00:35:29,53236,4,5,A,2,擋小球,,,1,6,773.0,330.0,2.0,5,805.0,536.0,,,,,6,774.0,334.0,8,672.0,587.0,0
9,18,00:35:30,53256,4,5,B,2,推球,,,2,5,805.0,536.0,1.0,8,540.0,334.0,,,,,8,749.0,569.0,8,699.0,347.0,0
9,19,00:35:30,53274,4,5,A,2,擋小球,,1.0,2,8,540.0,334.0,1.0,7,522.0,518.0,,,,,8,578.0,360.0,8,636.0,574.0,0
9,20,00:35:31,53293,4,5,B,2,擋小球,,,1,7,522.0,518.0,2.0,1,511.0,412.0,,,,,8,553.0,533.0,8,605.0,358.0,0
9,21,00:35:32,53317,4,5,A,2,挑球,,1.0,2,1,511.0,412.0,1.0,8,740.0,600.0,,,,,7,518.0,424.0,8,569.0,542.0,0
9,22,00:35:34,53350,4,5,B,2,長球,,,2,8,740.0,600.0,1.0,5,515.0,332.0,,,,,9,733.0,660.0,8,645.0,364.0,0
9,23,00:35:35,53377,4,5,A,2,點扣,1.0,,1,5,515.0,332.0,2.0,6,491.0,555.0,,,,,8,536.0,340.0,8,646.0,612.0,0
9,24,00:35:35,53391,4,5,B,2,防守回挑,,1.0,2,6,491.0,555.0,1.0,3,522.0,327.0,,,,,8,584.0,594.0,8,539.0,333.0,0
9,25,00:35:36,53423,4,5,A,2,切球,1.0,,1,3,522.0,327.0,2.0,7,782.0,514.0,,,,,5,507.0,332.0,8,597.0,582.0,0
9,26,00:35:37,53448,4,5,B,2,放小球,,,1,7,782.0,514.0,2.0,2,774.0,425.0,,,,,8,741.0,552.0,8,615.0,347.0,0
9,27,00:35:39,53475,4,5,A,2,挑球,,,2,2,774.0,425.0,1.0,3,811.0,636.0,,,,,7,729.0,430.0,8,700.0,550.0,0
9,28,00:35:40,53518,4,5,B,2,長球,,,2,3,811.0,636.0,1.0,8,757.0,329.0,,,,,9,769.0,646.0,8,676.0,368.0,0
9,29,00:35:42,53559,4,5,A,2,點扣,,,1,8,757.0,329.0,2.0,8,533.0,562.0,,,,,9,735.0,326.0,8,683.0,583.0,0
9,30,00:35:42,53574,4,5,B,2,防守回挑,,1.0,2,8,533.0,562.0,1.0,8,532.0,347.0,,,,,8,624.0,568.0,9,716.0,326.0,0
9,31,00:35:43,53599,4,5,A,2,擋小球,,1.0,1,8,532.0,347.0,2.0,8,558.0,525.0,,,,,8,567.0,354.0,8,594.0,581.0,0
9,32,00:35:44,53618,4,5,B,2,挑球,,1.0,2,8,558.0,525.0,1.0,9,744.0,324.0,,,,,8,539.0,544.0,8,591.0,358.0,0
9,33,00:35:45,53648,4,5,A,2,長球,,,2,9,744.0,324.0,1.0,9,778.0,631.0,,,,,8,698.0,333.0,8,657.0,576.0,0
9,34,00:35:46,53674,4,5,B,3,殺球,,,1,9,778.0,631.0,2.0,7,688.0,467.0,掛網,對手掛網,A,,8,750.0,615.0,8,661.0,351.0,0
10,1,00:36:44,55100,4,6,A,1,發短球,,1.0,2,,,,1.0,7,719.0,519.0,,,,,8,625.0,382.0,8,703.0,567.0,0
10,2,00:36:44,55118,4,6,B,2,推球,,1.0,2,7,719.0,519.0,1.0,8,553.0,329.0,,,,,8,716.0,537.0,8,664.0,370.0,0
10,3,00:36:45,55134,4,6,A,2,點扣,1.0,,1,8,553.0,329.0,2.0,8,592.0,557.0,,,,,8,604.0,352.0,8,655.0,560.0,0
10,4,00:36:45,55146,4,6,B,2,防守回抽,,1.0,2,8,592.0,557.0,1.0,8,543.0,334.0,,,,,8,611.0,573.0,8,600.0,345.0,0
10,5,00:36:46,55160,4,6,A,2,推球,,1.0,2,8,543.0,334.0,1.0,8,541.0,585.0,,,,,8,586.0,363.0,8,594.0,568.0,0
10,6,00:36:47,55179,4,6,B,2,長球,1.0,,2,8,541.0,585.0,1.0,9,568.0,320.0,,,,,8,542.0,578.0,8,589.0,356.0,0
10,7,00:36:48,55216,4,6,A,2,長球,1.0,,2,9,568.0,320.0,1.0,8,768.0,621.0,,,,,8,619.0,332.0,8,615.0,581.0,0
10,8,00:36:49,55249,4,6,B,2,過度切球,,,2,8,768.0,621.0,1.0,8,608.0,371.0,,,,,9,718.0,641.0,8,663.0,356.0,0
10,9,00:36:50,55268,4,6,A,2,擋小球,,,1,8,608.0,371.0,2.0,7,530.0,513.0,,,,,8,632.0,373.0,8,677.0,592.0,0
10,10,00:36:51,55287,4,6,B,2,推球,,1.0,2,7,530.0,513.0,1.0,4,760.0,328.0,,,,,8,535.0,538.0,8,616.0,373.0,0
10,11,00:36:52,55321,4,6,A,2,長球,,,2,4,760.0,328.0,1.0,8,797.0,619.0,,,,,9,727.0,323.0,8,662.0,575.0,0
10,12,00:36:53,55349,4,6,B,2,殺球,,,1,8,797.0,619.0,2.0,8,757.0,348.0,,,,,9,786.0,642.0,8,672.0,349.0,0
10,13,00:36:54,55361,4,6,A,2,擋小球,,,2,8,757.0,348.0,1.0,1,786.0,504.0,,,,,8,661.0,361.0,3,836.0,646.0,0
10,14,00:36:55,55384,4,6,B,2,撲球,,,1,1,786.0,504.0,2.0,8,563.0,359.0,,,,,8,763.0,537.0,8,649.0,350.0,0
10,15,00:36:55,55391,4,6,A,3,擋小球,,1.0,1,8,563.0,359.0,2.0,16,124.0,521.0,出界,對手出界,B,,8,631.0,351.0,1,796.0,516.0,0
11,1,00:37:16,55912,4,7,B,1,發長球,,1.0,2,,,,1.0,8,554.0,336.0,,,,,8,660.0,553.0,8,553.0,365.0,0
11,2,00:37:17,55940,4,7,A,2,點扣,1.0,,2,8,554.0,336.0,1.0,8,535.0,566.0,,,,,8,557.0,331.0,8,626.0,572.0,0
11,3,00:37:18,55955,4,7,B,2,擋小球,,1.0,2,8,535.0,566.0,1.0,8,537.0,375.0,,,,,8,607.0,577.0,8,592.0,339.0,0
11,4,00:37:18,55974,4,7,A,2,擋小球,,1.0,2,8,537.0,375.0,1.0,8,579.0,523.0,,,,,8,541.0,372.0,8,617.0,577.0,0
11,5,00:37:19,55995,4,7,B,2,放小球,,1.0,1,8,579.0,523.0,2.0,7,725.0,412.0,,,,,8,620.0,529.0,8,634.0,365.0,0
11,6,00:37:20,56015,4,7,A,2,挑球,,,2,7,725.0,412.0,1.0,9,779.0,637.0,,,,,7,678.0,406.0,8,651.0,546.0,0
11,7,00:37:22,56051,4,7,B,2,切球,,,1,9,779.0,637.0,2.0,2,784.0,406.0,,,,,9,708.0,647.0,8,664.0,362.0,0
11,8,00:37:23,56076,4,7,A,2,擋小球,,,1,2,784.0,406.0,2.0,1,789.0,511.0,,,,,8,752.0,394.0,8,691.0,615.0,0
11,9,00:37:23,56099,4,7,B,2,推球,,,2,1,789.0,511.0,1.0,3,513.0,324.0,,,,,8,765.0,546.0,8,699.0,375.0,0
11,10,00:37:24,56122,4,7,A,2,長球,1.0,,2,3,513.0,324.0,1.0,4,473.0,632.0,,,,,8,546.0,333.0,8,620.0,559.0,0
11,11,00:37:26,56159,4,7,B,2,點扣,1.0,,1,4,473.0,632.0,2.0,8,742.0,362.0,,,,,4,432.0,643.0,8,603.0,352.0,0
11,12,00:37:27,56176,4,7,A,2,擋小球,,,1,8,742.0,362.0,2.0,7,762.0,514.0,,,,,8,673.0,374.0,8,489.0,630.0,0
11,13,00:37:28,56201,4,7,B,2,挑球,,,2,7,762.0,514.0,1.0,8,753.0,333.0,,,,,8,715.0,546.0,8,679.0,361.0,0
11,14,00:37:28,56224,4,7,A,2,殺球,,,1,8,753.0,333.0,2.0,8,780.0,554.0,,,,,8,706.0,333.0,8,704.0,563.0,0
11,15,00:37:29,56233,4,7,B,2,防守回抽,,,2,8,780.0,554.0,1.0,8,719.0,371.0,,,,,8,685.0,578.0,8,730.0,333.0,0
